hose_in,scfm,visc_cP,vol_gal,pre_psi,time_min,peak_gpm,avg_gpm,avg_pressure_psig,time_50pct_min,time_90pct_min,note
2.0,19,50,6500,10,58.617405189289634,164.9320044079865,110.81894934760965,4.6317948417673485,27.833333333333332,51.9,
2.0,19,50,6500,15,57.49741003230158,199.425305705744,113.00886950796823,4.920931151140546,26.8,50.8,
2.0,19,50,6500,20,56.39253532481783,229.5419686256766,115.21828221742157,5.225699568192964,25.8,49.7,
2.0,19,100,5000,10,42.117838499836616,173.3408275772055,118.5974150657019,5.383373819862535,18.2,36.3,
2.0,19,100,5000,15,38.10317214616503,198.1585012572099,131.02375600410969,6.662381834250796,15.733333333333333,32.5,
2.0,19,100,5000,20,34.62252209854648,218.0920933128034,144.24668989545742,8.234002585525756,14.2,29.366666666666667,
2.0,19,100,6500,10,59.22134237483245,176.6471815815102,109.69721574831317,4.389124574147129,27.433333333333334,51.833333333333336,
2.0,19,100,6500,15,58.05030429843027,200.5936275012373,111.90484480580919,4.634152686425126,26.3,50.63333333333333,
2.0,19,100,6500,20,56.8836752310858,220.2473327210441,114.20050594713713,4.913838546894829,25.2,49.5,
2.0,19,500,5000,10,70.05139780231029,74.69241966349804,71.32975308131073,12.305565715219236,34.36666666666667,61.333333333333336,
2.0,19,500,5000,15,65.7568033787211,91.43153220908704,75.9933254924616,13.249090083291247,30.7,57.1,
2.0,19,500,5000,20,61.65938413555467,116.6318420697654,81.04586689117161,14.280164369574543,27.466666666666665,53.13333333333333,
2.0,19,500,6500,10,87.65048294255001,77.61816160920074,74.1174994367163,12.534783814901614,42.36666666666667,76.93333333333334,
2.0,19,500,6500,15,86.48275086036455,94.36007030359772,75.12120223337475,12.744198471100079,41.233333333333334,75.76666666666667,
2.0,19,500,6500,20,85.31894092060132,119.4630915302235,76.15164004580326,12.96032257139027,40.1,74.6,
2.0,19,1000,5000,10,112.16353517791981,48.19627672024973,44.5611127643803,15.011666989731332,54.03333333333333,97.66666666666667,
2.0,19,1000,5000,15,89.70919998678572,58.88594095611126,55.701828550419364,19.073754605483508,44.56666666666667,78.6,
2.0,19,1000,5000,20,85.40429582781786,62.12746384578181,58.50337151412165,20.1237944231197,41.0,74.46666666666667,
2.0,19,1000,6500,10,141.31872188074206,50.03885312675876,45.97790112188588,15.196866216459696,67.23333333333333,123.46666666666667,
2.0,19,1000,6500,15,111.42324435968006,60.94873149692145,58.3129953400412,19.6667147269933,54.1,97.73333333333333,
2.0,19,1000,6500,20,109.86118035565272,63.72588799109917,59.14510100447482,19.97649398574514,52.96666666666667,96.4,
2.0,19,2000,5000,10,215.42306576646132,24.94973827043319,23.202494445593402,15.39226703257638,103.1,188.03333333333333,
2.0,19,2000,5000,15,166.67496614825964,31.95723800024602,29.985211949532214,20.218065187046673,80.23333333333333,145.53333333333333,
2.0,19,2000,5000,20,136.38661329723536,38.85478993880223,36.64559794693171,24.96832606395569,66.03333333333333,119.16666666666667,
2.0,19,2000,6500,10,,25.82143795899205,,,,,DNF (642 gal left)
2.0,19,2000,6500,15,212.05021405774218,32.85415629604304,30.64362218606355,20.325931868253463,101.6,185.93333333333334,
2.0,19,2000,6500,20,173.44302544574765,39.80879326194871,37.46215381387008,25.15787590889223,83.46666666666667,152.2,
2.0,19,5000,5000,10,,10.13602699356688,,,,,DNF (334 gal left)
2.0,19,5000,5000,15,404.19572008219166,13.02490600184042,12.367097836151355,20.530879040674087,195.66666666666666,356.5,
2.0,19,5000,5000,20,329.2822418240502,15.90610193268784,15.179945253486991,25.45645843236345,159.76666666666668,290.26666666666665,
2.0,19,5000,6500,10,,10.47726808547057,,,,,DNF (1703 gal left)
2.0,19,5000,6500,15,,13.36868114041916,,,,,DNF (372 gal left)
2.0,19,5000,6500,20,422.0027055877715,16.25280593060078,15.39869376532443,25.501044533525903,204.33333333333334,373.1,
2.0,25,1,5000,10,32.42790179598345,206.0438058669276,154.05347930059057,5.911887209353896,14.8,28.566666666666666,
2.0,25,1,5000,15,29.74162241661735,247.0894487167917,167.85167193593952,7.265902243576521,13.033333333333333,26.033333333333335,
2.0,25,1,5000,20,27.384812281724315,282.3735889864207,182.32817638467483,8.784752672373394,11.666666666666666,23.833333333333332,
2.0,25,1,6500,10,45.06965724708838,211.1340874861756,144.07183758149873,4.792372619311639,21.366666666666667,40.0,
2.0,25,1,6500,15,44.19983788536775,251.3724509413431,147.00464055763297,5.07863503568805,20.566666666666666,39.13333333333333,
2.0,25,1,6500,20,43.3397638866169,286.1420813786566,149.84482220480396,5.386216981129753,19.766666666666666,38.3,
2.0,25,50,5000,10,37.63107004684335,160.5997752510486,132.77392098778458,7.583661820317909,17.7,33.266666666666666,
2.0,25,50,5000,15,34.88837829618585,195.7343193639251,143.16782179943357,8.893854544575303,15.766666666666667,30.666666666666668,
2.0,25,50,5000,20,32.42758926298352,226.265275829831,154.04596739248404,10.347171957579603,14.2,28.333333333333332,
2.0,25,50,6500,10,50.46484595877918,164.9320044079865,128.74027039483886,6.847913009002676,24.266666666666666,44.833333333333336,
2.0,25,50,6500,15,49.60078127863258,199.425305705744,130.91293739670797,7.140113684674758,23.433333333333334,44.0,
2.0,25,50,6500,20,48.74727315483214,229.5419686256766,133.2430951459497,7.451470349911169,22.666666666666668,43.13333333333333,
2.0,25,100,5000,10,36.003080331256164,173.3408275772055,138.665315556461,6.890981720832128,16.466666666666665,31.333333333333332,
2.0,25,100,5000,15,33.26262071817815,198.1585012572099,150.18423180935687,8.331849844771781,14.8,28.8,
2.0,25,100,5000,20,30.969516286546117,218.0920933128034,161.15845324123254,9.99794871003925,13.6,26.733333333333334,
2.0,25,100,6500,10,48.879460188318916,176.6471815815102,132.86475030072853,6.011453187201102,23.066666666666666,42.93333333333333,
2.0,25,100,6500,15,48.00376123842832,200.5936275012373,135.26496213383692,6.32879655196717,22.233333333333334,42.06666666666667,
2.0,25,100,6500,20,47.13861320009443,220.2473327210441,137.7528001378889,6.685164906703702,21.466666666666665,41.2,
2.0,25,500,5000,10,61.0598713841633,87.95114787619934,81.84320175676154,14.369194483311846,30.266666666666666,53.46666666666667,
2.0,25,500,5000,15,56.99287057456534,91.53617008799628,87.67790895969318,15.547631569424741,27.433333333333334,49.766666666666666,
2.0,25,500,5000,20,53.87293318635308,116.6318420697654,92.7202115936044,16.594437765916748,24.9,46.733333333333334,
2.0,25,500,6500,10,75.57980073446691,91.93679387895934,85.94678108402412,14.864084317103023,36.333333333333336,66.2,
